dyu,fr,dyu_len,fr_len
ko sɛbɛrikɛla dɔw ti kuma ko mɛ nin fanfɛ ko bi kuma ka ta kilenniya sirakan,certains auteurs ne parlent donc dans ce cadre que de représentations unitaires,76,79
ko a ye sisan ko n be pigale purke ka se ka aw dɛmɛ a ka bɔ kabane na kabane min ye gwɛlɛya ye dɔni,voilà que je suis à pigalle pour vous sortir de cabane,99,54
ko flo himan bi mɔgɔw kalan na kalanso min beyi na tɔgɔ ko huston a bun kalan jatilila ale ni badenmaya ko ra tilenya la,flo hyman étudie à luniversité de houston en mathématiques et en éducation physique,120,83
ko buala ka sira nin beyi kilo biwɔrɔ ni duuru kɛmɛ ni bikɔnɔntɔn kilo,chemin du buala soixantecinq cent quatrevingtdix hitte,70,54
ko dɔ nana a fɔ olu ye ka fɔ ko o tun nana na ye sar a ban ka obɛrzi la,un laquais vint prévenir quon amenait de lauberge le charàbancs,71,63
a ko a yɛrɛkun ka yɛrɛmatɔn,j’interroge donc l’opposition,27,29
ko kuma bi sekretɛr deta bolo,la parole est à monsieur le secrétaire d’état,29,45
ko san ni kɔnɔ ko a nana kɛ mɔgɔba dɔ ye senaris bolo fanfɛ,au fil des années il devient lun des scénaristes les plus productifs de léditeur,59,80
ko lafisali caaman beyi minuw bi lompo jigi epi ka kunadoniw caya,plusieurs centaines d’amendements visant à baisser les impôts et augmenter les dépenses,65,87
ko lanteri laura fɛ ko sɛgɛn fila tun bi se ka sɔrɔ,selon lanterilaura il y aurait au moins deux défauts méthodologiques,51,68
ko lafisaliyaw ka nimɔrɔ nunu tun ye biwolonfila ni wolonfila ale ni biseegi ni wɔrɔ kolu bɛ tun yi kelen ye,les amendements numéros soixantedixsept et quatre cent six sont identiques,108,74
ko n cɛ tu ne sariya tigiya ye,mon mari était fait pour être tribun pacarel ,30,45
ko kanale fɛrɛre mɔnta san damiano dasti kow bɛ bi ɲɔgɔnfɛ,canale ferrere montà san damiano dasti,58,38
ko fɛn nafaman tun tɛ,ce n’est pas là de la gnognotte d’éclair,21,42
ko tubi yɛrɛ le kɛra mɔgɔfɔlɔ ye min se ra ka a kalan kɛ viɛntiane na,touby luimême fut le premier hmong à suivre des études secondaires à vientiane,69,78
nin lafisali bi kuma lɛmpo kɔrɔw kan,cet amendement porte de nouveau sur les taxes ofii,36,50
ko an bi na da tugu ni filɛru ye,on va ty couvrir de fleurs,32,26
ko a tun lanino a tericɛ ka bara na ka parkur la mɛ kɔfɛ a jigi nana kla ka tigɛ,croyant la carrière de son ami brisée il fut pris de remords,80,60
ko nin sirakelennin nin bi taaga fo sangolo ra,cette silhouette farouche se dressait sur le clair du ciel,46,58
ko magraban ka siraw be yi bikɔnɔntɔn ale ni kɛmɛ min be lariviyɛr ra,rue du margrabant quatrevingtdix cent cinquante larivière,69,57
ko guvɛrneman ya yira ka fɔ ko ale bina sukɔrɔsɛnɛ bila sirakan pur k mɔgɔw ka se ka fɛn dɔ faamuya a ra,le gouvernement essaya également de développer la sylviculture,104,62
ko zaridɛnba nin sɛkɔra ka tɔgɔkura ta min ye palisad amizeman ye,le parc est renommé palisades amusement park,65,44
ko jiliɛn tun ma sigi ni nin ko gɛlɛya bali ni ye,julien ne sattendait pas à ce ton si simple,49,43
ko bibina ko minikɛlaw minu diɲɛ nin kɔnɔ ko lanibɛ o yɛra paseke mi nin dɔ bi se ka bana dɔw filakɛ,encore aujourd’hui les curistes du monde entier profitent de leurs propriétés curatives,100,87
ko komita ka wariko min ta nin le sanubara kan nin ko a ka gili le,léconomie du comitat reposait essentiellement sur lexploitation minière et lindustrie lourde,66,92
a tou ka bon mè a la seha mousso fourou,meilhac était grand bel homme bon vivant amateur de jolies femmes jusquà rester célibataire,39,91
ko saa ka gèlèya saba,trois impasse du serpent,21,24
kèmè saba ni dourou,quatre square alphonse bourg cinquantesept mille trois cent cinquante stiringwendel,19,83
ko baracaman bi sira la guvɛrneman bolo min bi na se ka dɔbɔ gɛlɛya dɔɔni na,plusieurs projets sont en cours détudes au gouvernement pour sortir dja de lenclavement,76,87
ko zesi tun ba ɲafɔra,les entreprises expliquait gégé c’est le dimanche que tu vois leur âme,21,70
ko fini funu fla le bi seka gɛrɛɲɔgɔn na,deux vortex peuvent se rapprocher lun de lautre,40,47
ko a lon na a ka tlo kɛ ni lo kɔsɔ min bi ta dɔnkilila fanfɛ epi a ka donkili nuw tun kolon ni lo,il est connu pour ses nombreuses couvertures humoristiques de chansons connues,97,78
ko o yi tun ɲɛnaman da ma tun min beyi rɔnsar ,on lui attribue de beaux vers de ronsard,46,40
ko a sera cɛba nin fɛ minu o tara ɲininganidɔ lase a ma purke a ka se ka kunnafoli ɲanaman sɔrɔ,il se rend chez le grand homme pour linterviewer et amasser de la documentation,95,79
ko gistave samazue ka kɛmɛmɛsɛn dɔ lo,il est le cousin du compositeur gustave samazeuilh,37,50
ko fɔlɔ kow tun bi lon mɔgɔ babadɔw fɛ min ye klark belane ale ni wɛrk de klas ye,on découvre lhistoire à travers les principaux personnages clarke bellamy octavia wells et glass,81,96
ko sira kɛmɛ duuru ni mugan ni wolonfila bi bodre ale ni wabiseegi bi amiyɛn ,cent quatrevingtsept bis rue baudrez quatrevingt mille amiens,77,61
ko a tun yi kɛlɛkɛminɛ caaman di wiliya limitrɔf mɔgɔw ma purke ka se ka o dɛmɛ,elle fournira à plusieurs occasions des unités de combattants pour aider les wilayas limitrophes,79,96
numéro biwôrô ni nani,l’amendement numéro six cent quatre de monsieur jeanpatrick gille rapporteur est de précision,21,93
marcenbaroeul monsbaroeul hellemmes fives ani stmaurice,marcqenbaroeul monsenbaroeul hellemmes fives et stmaurice,55,57
ko kɛlɛkɛ denw tara kuru dɔktɛr ra,les troupes alliées occupent les positions sur une colline escarpée,34,67
ko flaniw dɔgɔcɛ le ye min be olɛnpik ka defansi tara,il est le frère jumeau du défenseur de lolympique lyonnais rafael,53,65
ko ɛri mugan ni saaba ni miniti bisaaba le bé yi,il est vingttrois heures trente,48,31
ko darni sira nin tun bi mɔgɔ hakili jigi,un bis ruelle darnus,41,20
ko flɛruyiri minuw beyi ni olu yi denduduru ye ko fara ni lo ɲɔgɔnkan ka tila ka tigɛ,les fleurs pentamères ont les sépales fusionnés en calice,85,57
n bɛna ta tɔlɔ kɛ yɔrɔ la,je m’y mettrai à la bagatelle…,25,30
sira kèmè ni bissaba,trenteneuf rue de la gare daillevillers soixantedix mille trois cent vingt corbenay,20,83
ko a bolo toun founou na,ses bras se détendirent enfin et sa tête tomba pesamment sur ses deux mains croisées,24,84
ka beyi ka ban,le cv anonyme existe déjà,14,25
gnanden logô lô nan,ben du touriste homophobe,19,25
ko oun touyi ko dè yen,je fais des affaires,22,20
seko dama yira lo,la kunsthalle accueille une collection permanente dart contemporain ainsi que des expositions temporaires,17,105
ko bè gné kou na,cychrée délivra l’île de salamine du dragon qui la ravageait,16,60
a ya fô,une enquête publique doit être lancée pour commencer sans calendrier précis,7,75
a la ko kan beng,la parole est à madame véronique massonneau pour soutenir l’amendement numéro trois mille cinquantequatre,16,105
fama wou bina ta,il comprenait trois arrondissements dont les chefslieux étaient chiavari pontremoli et sarzane,16,94
a bi la gnanabô,limage tranquille des grandes prairies trempées par la senne qui prévalait jusqualors est révolue,15,97
an tèmè na gnan fè,nous avons en même temps passé lisonzo et pris gradisca,18,55
o ya nommé professeur,son noviciat accompli il est nommé professeur à rennes,21,54
ko républicain ka labin ko koura,il a cofondé le parti républicain de reconstitution nationale,32,61
aya fô ko euro le bi di bara kè la bè ma,vous parlez de cinq cents euros en moyenne par salarié,40,54
a bognê ni ka maa bi sega kè bi tchira min konon na,vu la grosseur ça pouvait être le colis que j’attendais,51,55
ama sigi ni komin yé a bi na tanga,un événement imprévu le sauva comme en mille cinq cent vingthuit,34,64
ko nunu kalanso nunu siginin ne turku roma pori ale ni salo minuw ye jamana dɔw ye,ses campus principaux sont situés à turku rauma pori et salo,82,60
ko zulata bi baraka siyɛn fila fɔrmasiɔn dɔra min ka parti nin yi o daman yɛrɛ kunkɔrɔta ye,zuluaga travailla à deux occasions à la formation dun parti indépendant uribiste,91,80
ko a sɛkɔ ka fanga le sɔrɔ,il fut réélu le pour la législature,26,35
ko olu nɔn le,elles sont trop sensibles,13,25
ko a tun ti a ka sababuya ni gundo a tun ma sigi na ye min bi se ka bara kɛ ni mɔgɔsɛbɛya ye,elle nanalysait point les causes secrètes de sa bienveillance,92,61
ko a kɛra wari dɔrɔmɛ bisaba ni saba sefa ra ko bisaba ni basaba lo fana lo be yi tubabu ka fɔta ra min ye ero ye,ca fait trentetrois francs trentetrois centimes,113,47
ko grɛsi yi mɔgɔ fila bɔ kulon na minu tun tara kulon laban na tulon min ye kɛkɛ kulon ye,la grèce a qualifié deux boxeurs pour le tournoi olympique de boxe,89,66
ko fɛrɛsira layiri nunu tun ti ta cogokelen na,c’était pas les mêmes méthodes de recrutement,46,45
ko a bɔra ni duguma ye ka filɛri kɛ ka ta dusukun fanfɛ,elle sort par le fond en le regardant avec tendresse,55,52
ko o tun bɛn na ra le ko ba suɲɛn,c’était donc qu’on s’entendait pour la voler,33,45
ko a tun kolɔnna kɛlɛfɔlɔ min tun kɛra diɲɛn nin na sabura a tun yi kɛlɛkɛ minɛ dɔw di,elle est devenue florissante pendant la première guerre mondiale en fournissant larmée austrohongroise,86,102
ko wulu nunu ton no kan juru nin sama na,les chiens de beaux huskys tireraient sur leurs laisses,40,55
ko kalotan yɔrɔyɔyɔ ko den nin bi ko dɔw lɔn ni adamaden nin bɛ yi kelen ye,à dix mois lenfant passe à lintégration bilatérale réciproque,75,61
tony marot nin sarah marot ka balimamuso le olu fanan ye yɛlɛko bilalaw ye,elle est la sœur de tony marot et sarah marot qui sont également comédiens,74,74
ni tagani ka segi ni ɲɔgɔ cama di mon tɔgɔ senigɔ,plusieurs copies de cette répétition forment une structure appelée solénoïde α,49,78
histologie lo kadi môgô yé,l’histoenzymologie est une spécialisation de l’histologie et notamment de l’histochimie,26,87
perezidan muso min ka hakilila jaga bɔ ni sama ka bɔ,madame la présidente je retire l’amendement,52,43
a bora hongrois,sept cent seize un conte hongrois g,15,35
pɔrto vesio ka park la lotiseman mugan kɛmɛ ani bisaaba ni wulufila vesio,lotissement les parcs de porto vécchio vingt cent trentesept portovecchio,73,73
hɛrmitaz bi sɔrɔ kongo bolo cin dɔla,lhermitage est situé dans une section de la forêt,36,49
kamele deeni kunawolo nin dɔ ye nin a pɛntiri kɛla,voilà un brave jeune homme et qui peint… comme un peintre ,50,58
a ka dɔgɔcɛ mark nufle ani johni ɛnsi bɛ tu bi nin alibɔmi nin na,son frère mark knopfler et john illsley sont également présents sur cet album,65,77
lans wolola italie wilikayɛlɛmalaw ka du kɔnɔ,lantz est né dans une famille dimmigrants italiens,45,50
wali dɔ ka farakan wali dɔ ka bɔ a ra,plus ou moins,37,13
ni canton ni yi koni kè,ce canton était organisé autour de la commune de casepilote dans larrondissement de saintpierre,23,95
doussou kassi ko lo,et cest fâcheux pour lui conclut olivier plumartin,19,50
karbonɛl bi candelabre josi la,carbonel essuie un candélabre,30,29
sunguruden hakili diman dɔ lo,c’est une fille intelligente,29,28
i lani ba la ko a tun bi na dia n ye a,tu es sûr que j’aurais aimé,38,27
n nusɔndiala kaw dɛmɛ,être content de servir,21,22
sanji ni nin bi benna dɛ,cette pluie tombe drue,24,22
wagati min be yi ni kaɲi ka kɛ tomɔ wolofila le ye,il doit être sept heures,50,24
a bi na dabila wagati juma ,quand allezvous vous arrêter,27,28
rimiri tagamana kan,et ribéride marcha sur lui,19,26
a ka na miri u la,ne vous en faites pas ,17,22
suguruni muso le bi aw ye wa,êtesvous une fille ,28,19
gina filɛ taaw bé di leɲ,comment est le film ,24,20
muso nin aplɔn ba bolo,elle a un aplomb …,22,18
an an an an,en … en … en … en …,11,19
i ka jurusiri nin ka fisa,tu ne frottes pas mal…,25,22
n yi donifani sɔrɔ wagati bɛɛ,j’ai toujours eu de la tenue ,29,29
melane ka sira orɛsɔn la,chemin des mélanes à oraison,24,28
aw ye ɲɔgɔn kanu,vous vous êtes aimé,16,19
an a ka ɲi dɛ sunguru,ah elle est bonne ,21,18
n ka siko yi minu ye jikɔnɔtagamafɛnw,les bateaux ça me fait rêver,37,28
i kɔrɔmuso ubɛn i dɔgɔmuso kanu bi kɛ i ye wa ,tu aimerais ta sœur,46,19
a ko di le,questce à dire,10,14
alé doron toun kèra a dja yé,cela seul passionnait son âme,28,29
an tara a mèna,son gardien revint le prendre,14,29
ayé o welé wa,vous m’avez téléphoné ,13,22
fɛn cama le tan bolo ka ko cama dɔ kɛ min ye an ba fɛ,on manque dun bon moyen de propulsion intersidéral,53,50
mule bé yi ka yira ka fɔ ko paris cɛkaɲi sini n bi na bɔ pari,quel logis plus charmant trouverezvous dans paris demain poursuivitil jaurai quitté paris,61,89
a bina filmu kɛtaw surumaniw caaman kɛ,il réalisera plusieurs courtsmétrages expérimentaux,38,51
tɛksiye gala ka sira ono ,rue texier gallas auneau,25,24
aka ka len minè,gardez vos insultes pour vous,15,29
benkan nin be bɔra an yɛrɛ lo ma,cette symbioz est équipée de la conduite autonome,32,49
tile wagati la a bi ta azi sanfɛ ani siberi ,en été il migre vers le nord de lasie de lest et en sibérie,44,59
kɔɔ kelen munu kelen,un rue tour du lac,20,18
dɔni ti yɛlɛ la,peu ne rient pas,15,16
nin te kalanfilɛtaw dɔ ye,ceci nest pas un livre,25,22
i ni cee i ka boɲala,merci de me recevoir,20,20
dari laban,dernière demande,10,16
malɛnzean muso ale yɛrɛ,madame malingear de même,23,24
mɛ andulɛt fila le be yi,j’ai là deux andouillettes…,24,27
tobelo ka famakuntigiyɔrɔ,son cheflieu est tobelo,25,23
n ye wolonfila jati,jen comptai sept,19,16
musodeni bisaba ni saba,trentetrois petites femmes,23,26
satirne sira wolonfila,sept avenue saturne,22,19
fanɛs yo di surasiw ma,farnèse le livra aux soldats,22,28
kakan bè,des sonneurs du bagad kemper,8,28
a ka kalan kɛ filɛrita,cest votre livre ,22,17
an yi mosso koroba soutoura,on enterre la vieille femme,27,27
sira saba,trois rue flamande,9,18
a ya ou yélè tiun bi yèrè la,ses yeux mêmes blêmissaient,28,27
samia kalo,vercors mois de juillet,10,23
i ka kènè wa,comment vastu ,12,14
ayé bara kè flèta ou yé,il a travaillé pour le cinéma,23,29
a wagati bilara nin kan,la tranche est toilée rouge,23,27
a ye a yɛrɛ kɛ a yɛrɛ kan a nin ka suma,il se résignait lâme molle,39,26
fani ko yɔrɔ diman,un lavelinge bruyant,18,20
kolineri la sira pɔrnik na,route de la colinerie à pornic,26,30
suhara sira bidar,rue de souhara à bidart,17,23
ni ɲɔgɔn fana bi ji ta,ce genre est souvent hybridé,22,28
a baa ɲuman kɔrɔtɔ,ardeur efficacité audace,18,24
alɛsandrɛn ka muso bisu,alexandrin à madame bichu ,23,26
doumouni,le buffet est des et siècles,8,28
grelots mankan foo yanfee,bruit de grelots au lointain,25,28
bɔnnak sira kliɔn la,rue bonnac à clion,20,18
ko yira ko a ti kelen ye o ka fisa,le différentiel est en état,34,27
sepria sira thyir,rue den cypria thuir,17,20
mntandɔn sira po la,avenue de montardon à pau,19,25
n malɔn ko a bi mɔgɔɲuma le ye,je reconnais sa quinte,30,22
dristɛl drilingɛn ka sira,rue de durstel drulingen,25,24
laban tigi dogoni susurumani,léradicateur masqué court,28,25
tɔnisalen ka sira wɔrɔ,six rue de la goutte morte,22,26
a fɔra n belen cɛ,c’est dit l’oncle,17,17
a lani tun bi den nin tiɲɛfɔ ra,on croyait lenfant supposé,31,26
fèn deni,impasse barlet petitbourg,8,25
coquaine sira lo,rue coquaine à vosbles,16,22
fen tigi paul cini,le gérant paul cornille,18,23
largot bi chila a nin kan,l’argot vit sur la langue,25,25
ormeau clèrac la,boulevard des ormeaux clairac,16,29
albert ka sira,rue albert raspiller essert,14,27
lafargue ka sira,rue rené lafargue prayssac,16,26
rodilhan ka sira,avenue de canale rodilhan,16,25
bonnefon sira,rue bonnefond givors,13,20
puwɛrto lumera mabli ka sira,rue puerto lumbreras mably,28,26
lasipuɛsi ka sira foyi,route de las poueyes à aucun,22,28
vɛnsan oriɔl ka sira revɛn,avenue vincent auriol revin,26,27
vasɔne nunu cɛ ka ɲi,vachonnet le plus jo … joli ,20,28
taga yɔrɔ antonio kanova,six allée antonio canova,24,24
garik sira albi,rue du garric albi,15,18
massa cɛ sii massa cɛ an te giri a kan,lempereur … vive lempereur … on se précipita,38,44
a man di fo mɔgɔ yɛrɛ bi fɛ ka saa,cest à mourir dennui,34,20
sira tan bɛrnɛd,dix rue de la bernède,15,21
karbonɛl bi kandelabru jɔsi la,carbonel essuie un candélabre,30,29
ne bi sɛbɛrikɛla deli a ka a ka kumaɲafɔw toyi,aussi je demande à monsieur le rapporteur de retirer son amendement,46,67
ayé gêlêya sôrô ni kala fili la yé,il noue également des rapports étroits avec le monde politique,34,62
a wolo la yan fè,d’après la tradition saintagnin serait natif du village affirmation non confirmée par les hagiographes,16,102
an be taga,il fut incorporé au diocèse de chambéry,10,39
an tara ala,il est en retard pour la conférence,11,35
aye micro mina,ils cachent des micros dans les prises électriques,14,50
o te sɛ sɔrɔli jirisun ye,il ne sagit pas dun arc de triomphe,25,35
a guvɛrnɛr ka jitituguni jigi kale,ah dit espérance désappointé le gouverneur,34,42
nin cupu nin yi ivwari ka kulɛri sababu ye,la cape est de couleur ivoire,42,29
nne yi kɔnɔni kɛ sa vo hɛri saba rabugri ka jɔyɔrɔ la,j’ai attendu plus de trois heures près d’un chêne rabougri,53,58
gobele ani dagaw fana bi an ka dumuni fɛn toguw cɛman,la production comprend des bols écuelles marmites,53,49
i ka sira nin kɔlɔn sarti saba bi olu la,rue du puits drouet à chartres,40,30
nunu sia nun cɛma irlandɛnw be yi,parmi ces races figurent lislandais et les poneys fell et dales,33,63
nin cɛ ni tun bi nɔmɔrɔ wɔɔrɔ ka bisi la,la commission a supprimé l’article six bis a,40,44
ne baliman mohamed ka kalan den,chaude caresse daffection le major enlaçait du bras la taille de son disciple,31,77
ni sira ni la sourou en ka yoro la,le métro le plus proche est nevski prospekt,34,43
